Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'
Kirkels_2019 SP1-O	0.868686869	0.03030303	0.01010101	0.080808081	0.01010101	0	0	0	0	0	0	0	0	0	0
Guo_2021 TS131_soil	0.212025316	0.085443038	0.015822785	0.053797468	0.386075949	0.028481013	0.063291139	0	0	0.03164557	0.123417722	0	0	0	0
Guo_2020 S1.5	0.323232323	0.060606061	0.02020202	0.343434343	0.101010101	0.04040404	0.01010101	0	0	0.080808081	0.02020202	0	0	0	0
Naafs_2017_peats 288 Kosowa mire Kosowa mire (1)	0.761993075	0	0	0.19095458	0	0.001379996	0	0.00096086	0	0.01291356	0	0.031797929	0	0	0
Guo_2021 TS51_soil	0.196236559	0.067204301	0.008064516	0.120967742	0.352150538	0.021505376	0.072580645	0	0	0.048387097	0.112903226	0	0	0	0
Naafs_2017_Soils_France-TESO13	0.18141158	0.112805019	0.021307615	0.180751902	0.177453509	0.08641788	0.073883989	0.010093081	0.004281313	0.068606561	0.072564632	0.01042292	0	0	0
Naafs_2017_Soils_Gabon-1	0.870743034	0.013660991	0.006888545	0.089589783	0.009636223	0	0	0	0	0.009481424	0	0	0	0	0
Wang_2018 FJS6	0.834453158	0.014601703	0.00224784	0.126075742	0.009464907	0.001349719	0.000473385	0.000580019	0.000117609	0.008189717	0.002446202	0	0	0	0
Naafs_2017_Soils_China-MG2742	0.638040344	0.02514258	0.012381773	0.269745769	0.008338745	0.0082124	0.000475056	0.005679191	0	0.029438297	0.002545844	0	0	0	0
Naafs_2017_peats 86 Butterburn Flow 7	0.548950129	0.018349929	0.006750271	0.363493076	0	0.006660204	0	0.006719458	0	0.049076934	0	0	0	0	0
Naafs_2017_Soils_Iceland-6	0.283680094	0.077467906	0.022133687	0.308396045	0.120259702	0.030396931	0.02051055	0.008152575	0.003873395	0.098126014	0.027003099	0	0	0	0
Naafs_2017_peats 177 SKY1 40	0.319025685	0.01051585	0.005316356	0.475176901	0	0.010704706	0	0.008653904	0	0.168927727	0	0.000718017	0.000413011	0.000547843	0
Naafs_2017_peats 292 Tanet Tanet 2 bottom	0.515799032	0.0032963	0.010641839	0.422824508	0	0	0	0	0	0.047438321	0	0	0	0	0
Pei_2019 Soil-4	0.87	0.03	0.01	0.07	0.01	0	0	0	0	0.01	0	0	0	0	0
Naafs_2017_peats 235 Pau de Fruta PF 18-20	0.82990551	0.017808273	0.020474947	0.116709524	0	0.002140665	0	0.001505204	0	0.011455875	0	0	0	0	0
Zang_2018 TLF-11	0.128712871	0.099009901	0.00990099	0.02970297	0.386138614	0.02970297	0.148514851	0	0.00990099	0.01980198	0.108910891	0.00990099	0.01980198	0	0
